district number,name english,name georgian,precinct number
36,Borjomi,ბორჯომი,1
36,Borjomi,ბორჯომი,11
36,Borjomi,ბორჯომი,14
36,Borjomi,ბორჯომი,17
36,Borjomi,ბორჯომი,20
36,Borjomi,ბორჯომი,23
36,Borjomi,ბორჯომი,24
36,Borjomi,ბორჯომი,29
37,Akhaltsikhe,ახალციხე,1
37,Akhaltsikhe,ახალციხე,2
37,Akhaltsikhe,ახალციხე,3
37,Akhaltsikhe,ახალციხე,4
37,Akhaltsikhe,ახალციხე,5
37,Akhaltsikhe,ახალციხე,6
37,Akhaltsikhe,ახალციხე,7
37,Akhaltsikhe,ახალციხე,8
37,Akhaltsikhe,ახალციხე,9
37,Akhaltsikhe,ახალციხე,10
37,Akhaltsikhe,ახალციხე,11
37,Akhaltsikhe,ახალციხე,17
37,Akhaltsikhe,ახალციხე,18
37,Akhaltsikhe,ახალციხე,19
37,Akhaltsikhe,ახალციხე,21
37,Akhaltsikhe,ახალციხე,24
37,Akhaltsikhe,ახალციხე,25
37,Akhaltsikhe,ახალციხე,26
37,Akhaltsikhe,ახალციხე,27
37,Akhaltsikhe,ახალციხე,28
37,Akhaltsikhe,ახალციხე,29
37,Akhaltsikhe,ახალციხე,30
37,Akhaltsikhe,ახალციხე,31
37,Akhaltsikhe,ახალციხე,32
37,Akhaltsikhe,ახალციხე,33
37,Akhaltsikhe,ახალციხე,34
38,Adigeni,ადიგენი,2
38,Adigeni,ადიგენი,3
38,Adigeni,ადიგენი,12
38,Adigeni,ადიგენი,16
39,Aspindza,ასპინძა,1
39,Aspindza,ასპინძა,4
39,Aspindza,ასპინძა,8
39,Aspindza,ასპინძა,9
39,Aspindza,ასპინძა,16
39,Aspindza,ასპინძა,20
39,Aspindza,ასპინძა,23
40,Akhalkalaki,ახალქალაქი,1
40,Akhalkalaki,ახალქალაქი,2
40,Akhalkalaki,ახალქალაქი,3
40,Akhalkalaki,ახალქალაქი,4
40,Akhalkalaki,ახალქალაქი,5
40,Akhalkalaki,ახალქალაქი,9
40,Akhalkalaki,ახალქალაქი,10
40,Akhalkalaki,ახალქალაქი,11
40,Akhalkalaki,ახალქალაქი,12
40,Akhalkalaki,ახალქალაქი,13
40,Akhalkalaki,ახალქალაქი,14
40,Akhalkalaki,ახალქალაქი,15
40,Akhalkalaki,ახალქალაქი,17
40,Akhalkalaki,ახალქალაქი,18
40,Akhalkalaki,ახალქალაქი,19
40,Akhalkalaki,ახალქალაქი,22
40,Akhalkalaki,ახალქალაქი,23
40,Akhalkalaki,ახალქალაქი,24
40,Akhalkalaki,ახალქალაქი,25
40,Akhalkalaki,ახალქალაქი,26
40,Akhalkalaki,ახალქალაქი,28
40,Akhalkalaki,ახალქალაქი,31
40,Akhalkalaki,ახალქალაქი,34
40,Akhalkalaki,ახალქალაქი,35
40,Akhalkalaki,ახალქალაქი,37
40,Akhalkalaki,ახალქალაქი,38
40,Akhalkalaki,ახალქალაქი,40
40,Akhalkalaki,ახალქალაქი,41
40,Akhalkalaki,ახალქალაქი,42
40,Akhalkalaki,ახალქალაქი,49
40,Akhalkalaki,ახალქალაქი,55
40,Akhalkalaki,ახალქალაქი,59
40,Akhalkalaki,ახალქალაქი,61
40,Akhalkalaki,ახალქალაქი,62
40,Akhalkalaki,ახალქალაქი,63
40,Akhalkalaki,ახალქალაქი,66
40,Akhalkalaki,ახალქალაქი,67
40,Akhalkalaki,ახალქალაქი,68
40,Akhalkalaki,ახალქალაქი,70
41,Ninotsminda,ნინოწმინდა,1
41,Ninotsminda,ნინოწმინდა,2
41,Ninotsminda,ნინოწმინდა,3
41,Ninotsminda,ნინოწმინდა,4
41,Ninotsminda,ნინოწმინდა,5
41,Ninotsminda,ნინოწმინდა,6
41,Ninotsminda,ნინოწმინდა,7
41,Ninotsminda,ნინოწმინდა,8
41,Ninotsminda,ნინოწმინდა,9
41,Ninotsminda,ნინოწმინდა,12
41,Ninotsminda,ნინოწმინდა,13
41,Ninotsminda,ნინოწმინდა,14
41,Ninotsminda,ნინოწმინდა,16
41,Ninotsminda,ნინოწმინდა,17
41,Ninotsminda,ნინოწმინდა,18
41,Ninotsminda,ნინოწმინდა,19
41,Ninotsminda,ნინოწმინდა,20
41,Ninotsminda,ნინოწმინდა,21
41,Ninotsminda,ნინოწმინდა,22
41,Ninotsminda,ნინოწმინდა,23
41,Ninotsminda,ნინოწმინდა,24
41,Ninotsminda,ნინოწმინდა,25
41,Ninotsminda,ნინოწმინდა,26
41,Ninotsminda,ნინოწმინდა,27
41,Ninotsminda,ნინოწმინდა,28
41,Ninotsminda,ნინოწმინდა,30
41,Ninotsminda,ნინოწმინდა,32
41,Ninotsminda,ნინოწმინდა,33
41,Ninotsminda,ნინოწმინდა,34
21,Gardabani,გარდაბანი,1
21,Gardabani,გარდაბანი,2
21,Gardabani,გარდაბანი,3
21,Gardabani,გარდაბანი,4
21,Gardabani,გარდაბანი,5
21,Gardabani,გარდაბანი,6
21,Gardabani,გარდაბანი,7
21,Gardabani,გარდაბანი,8
21,Gardabani,გარდაბანი,9
21,Gardabani,გარდაბანი,10
21,Gardabani,გარდაბანი,11
21,Gardabani,გარდაბანი,12
21,Gardabani,გარდაბანი,21
21,Gardabani,გარდაბანი,22
21,Gardabani,გარდაბანი,25
21,Gardabani,გარდაბანი,26
21,Gardabani,გარდაბანი,27
21,Gardabani,გარდაბანი,40
21,Gardabani,გარდაბანი,41
21,Gardabani,გარდაბანი,42
21,Gardabani,გარდაბანი,46
21,Gardabani,გარდაბანი,47
21,Gardabani,გარდაბანი,48
21,Gardabani,გარდაბანი,49
21,Gardabani,გარდაბანი,50
21,Gardabani,გარდაბანი,52
21,Gardabani,გარდაბანი,53
21,Gardabani,გარდაბანი,54
21,Gardabani,გარდაბანი,55
21,Gardabani,გარდაბანი,56
21,Gardabani,გარდაბანი,58
21,Gardabani,გარდაბანი,59
21,Gardabani,გარდაბანი,60
21,Gardabani,გარდაბანი,61
22,Marneuli,მარნეული,1
22,Marneuli,მარნეული,2
22,Marneuli,მარნეული,3
22,Marneuli,მარნეული,4
22,Marneuli,მარნეული,5
22,Marneuli,მარნეული,6
22,Marneuli,მარნეული,7
22,Marneuli,მარნეული,8
22,Marneuli,მარნეული,9
22,Marneuli,მარნეული,10
22,Marneuli,მარნეული,11
22,Marneuli,მარნეული,12
22,Marneuli,მარნეული,13
22,Marneuli,მარნეული,14
22,Marneuli,მარნეული,15
22,Marneuli,მარნეული,16
22,Marneuli,მარნეული,17
22,Marneuli,მარნეული,18
22,Marneuli,მარნეული,19
22,Marneuli,მარნეული,21
22,Marneuli,მარნეული,22
22,Marneuli,მარნეული,23
22,Marneuli,მარნეული,24
22,Marneuli,მარნეული,25
22,Marneuli,მარნეული,26
22,Marneuli,მარნეული,29
22,Marneuli,მარნეული,30
22,Marneuli,მარნეული,31
22,Marneuli,მარნეული,32
22,Marneuli,მარნეული,33
22,Marneuli,მარნეული,34
22,Marneuli,მარნეული,35
22,Marneuli,მარნეული,36
22,Marneuli,მარნეული,37
22,Marneuli,მარნეული,38
22,Marneuli,მარნეული,39
22,Marneuli,მარნეული,40
22,Marneuli,მარნეული,41
22,Marneuli,მარნეული,42
22,Marneuli,მარნეული,43
22,Marneuli,მარნეული,44
22,Marneuli,მარნეული,45
